"LOCUS"	"SYMBOL"	"SYNOYM"	"LENGTH"	"START"	"STOP"	"STRAND"	"NAME"	"CHROMOSOME"	"ANNOTATION"	"ANNOTATION NAME"		
"PITG_00022"			1633	260777	262409	"-"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1	"Pfam"	"PF01554.10"	"MatE"	"MatE"
"PITG_00022"			1633	260777	262409	"-"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1	"Pfam"	"TIGR00797"	"matE"	"MATE efflux family protein"
"PITG_00023"			1812	272998	274809	"+"	"mitoferrin-like protein"	1				
"PITG_00023"			1812	272998	274809	"+"	"mitoferrin-like protein"	1	"Pfam"	"PF00153.19"	"Mito_carr"	"Mitochondrial carrier protein"
"PITG_00024"			1959	275094	277052	"+"	"conserved hypothetical protein"	1				
"PITG_00025"			1831	277115	278945	"-"	"conserved hypothetical protein"	1				
"PITG_00025"			1831	277115	278945	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF00097.17"	"zf-C3HC4"	"Zinc finger, C3HC4 type (RING finger)"
"PITG_00026"			1390	279519	280908	"+"	"ankyrin-like protein"	1				
"PITG_00027"			651	281175	281825	"-"	"conserved hypothetical protein"	1				
"PITG_00027"			651	281175	281825	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF01205.11"	"UPF0029"	"Uncharacterized protein family UPF0029"
"PITG_00027"			651	281175	281825	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF09186.3"	"DUF1949"	"Domain of unknown function (DUF1949)"
"PITG_00027"			651	281175	281825	"-"	"conserved hypothetical protein"	1	"Pfam"	"TIGR00257"	"TIGR00257"	"conserved hypothetical protein TIGR00257"
"PITG_00028"			1660	281895	283554	"+"	"aminoacylase-1, putative"	1				
"PITG_00028"			1660	281895	283554	"+"	"aminoacylase-1, putative"	1	"Pfam"	"PF01546.20"	"Peptidase_M20"	"Peptidase family M20/M25/M40"
"PITG_00028"			1660	281895	283554	"+"	"aminoacylase-1, putative"	1	"Pfam"	"PF07687.6"	"M20_dimer"	"Peptidase dimerisation domain"
"PITG_00028"			1660	281895	283554	"+"	"aminoacylase-1, putative"	1	"Pfam"	"TIGR01880"	"Ac-peptdase-euk"	"N-acyl-L-amino-acid amidohydrolase"
"PITG_00029"			1617	283681	285297	"+"	"aminoacylase-1, putative"	1				
"PITG_00029"			1617	283681	285297	"+"	"aminoacylase-1, putative"	1	"Pfam"	"PF01546.20"	"Peptidase_M20"	"Peptidase family M20/M25/M40"
"PITG_00029"			1617	283681	285297	"+"	"aminoacylase-1, putative"	1	"Pfam"	"TIGR01880"	"Ac-peptdase-euk"	"N-acyl-L-amino-acid amidohydrolase"
"PITG_00030"			1116	285954	287069	"+"	"conserved hypothetical protein"	1				
"PITG_00031"			882	287352	288233	"-"	"conserved hypothetical protein"	1				
"PITG_00031"			882	287352	288233	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF04005.4"	"Hus1"	"Hus1-like protein"
"PITG_00032"			1718	289086	290803	"+"	"exonuclease, putative"	1				
"PITG_00032"			1718	289086	290803	"+"	"exonuclease, putative"	1	"Pfam"	"PF00929.16"	"Exonuc_X-T"	"Exonuclease"
"PITG_00033"			889	291309	292197	"-"	"hypothetical protein"	1				
"PITG_00034"			1971	293077	295047	"+"	"aldehyde dehydrogenase, putative"	1				
"PITG_00035"			1739	295409	297147	"-"	"60S ribosomal export protein NMD3, putative"	1				
"PITG_00035"			1739	295409	297147	"-"	"60S ribosomal export protein NMD3, putative"	1	"Pfam"	"PF04981.5"	"NMD3"	"NMD3 family"
"PITG_00036"			2056	297756	299811	"-"	"U3 small nucleolar RNA-associated protein 6"	1				
"PITG_00036"			2056	297756	299811	"-"	"U3 small nucleolar RNA-associated protein 6"	1	"Pfam"	"PF08640.3"	"U3_assoc_6"	"U3 small nucleolar RNA-associated protein 6"
"PITG_00037"			1307	299950	301256	"+"	"conserved hypothetical protein"	1				
"PITG_00038"			2903	301513	304415	"-"	"myb-like DNA-binding protein, putative"	1				
"PITG_00038"			2903	301513	304415	"-"	"myb-like DNA-binding protein, putative"	1	"Pfam"	"PF00249.23"	"Myb_DNA-binding"	"Myb-like DNA-binding domain"
"PITG_00039"			2330	304763	307092	"-"	"telomere length regulation protein TEL2"	1				
"PITG_00039"			2330	304763	307092	"-"	"telomere length regulation protein TEL2"	1	"Pfam"	"PF10193.1"	"Telomere_reg-2"	"Telomere length regulation protein"
"PITG_00040"			3320	317550	320869	"+"	"hypothetical protein"	1				
"PITG_00041"			725	441468	442192	"+"	"carbohydrate esterase, putative"	1				
"PITG_00042"			362	445575	445936	"+"	"conserved hypothetical protein"	1				
"PITG_00043"			2137	446530	448666	"-"	"conserved hypothetical protein"	1				
"PITG_00044"			610	449137	449746	"-"	"conserved hypothetical protein"	1				
"PITG_00045"			4243	450919	455161	"+"	"myosin-like protein"	1				
"PITG_00045"			4243	450919	455161	"+"	"myosin-like protein"	1	"Pfam"	"PF00023.22"	"Ank"	"Ankyrin repeat"
"PITG_00045"			4243	450919	455161	"+"	"myosin-like protein"	1	"Pfam"	"PF00063.13"	"Myosin_head"	"Myosin head (motor domain)"
"PITG_00045"			4243	450919	455161	"+"	"myosin-like protein"	1	"Pfam"	"PF00612.19"	"IQ"	"IQ calmodulin-binding motif"
"PITG_00045"			4243	450919	455161	"+"	"myosin-like protein"	1	"Pfam"	"PF01363.13"	"FYVE"	"FYVE zinc finger"
"PITG_00046"			2619	455284	457902	"-"	"sporangia induced conserved hypothetical protein"	1				
"PITG_00046"			2619	455284	457902	"-"	"sporangia induced conserved hypothetical protein"	1	"Pfam"	"PF00008.19"	"EGF"	"EGF-like domain"
"PITG_00046"			2619	455284	457902	"-"	"sporangia induced conserved hypothetical protein"	1	"Pfam"	"PF07974.5"	"EGF_2"	"EGF-like domain"
"PITG_00047"			2806	458278	461083	"+"	"conserved hypothetical protein"	1				
"PITG_00047"			2806	458278	461083	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF08238.4"	"Sel1"	"Sel1 repeat"
"PITG_00048"			1230	461174	462403	"-"	"conserved hypothetical protein"	1				
"PITG_00048"			1230	461174	462403	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF03372.15"	"Exo_endo_phos"	"Endonuclease/Exonuclease/phosphatase family"
"PITG_00049"			1998	462601	464598	"+"	"conserved hypothetical protein"	1				
"PITG_00050"			1919	464646	466564	"-"	"conserved hypothetical protein"	1				
"PITG_00050"			1919	464646	466564	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF00096.18"	"zf-C2H2"	"Zinc finger, C2H2 type"
"PITG_00051"			1293	466698	467990	"-"	"DNA-directed RNA polymerase III subunit RPC6, putative"	1				
"PITG_00051"			1293	466698	467990	"-"	"DNA-directed RNA polymerase III subunit RPC6, putative"	1	"Pfam"	"PF05158.4"	"RNA_pol_Rpc34"	"RNA polymerase Rpc34 subunit"
"PITG_00052"			2870	468136	471005	"+"	"periodic tryptophan protein 2"	1				
"PITG_00052"			2870	468136	471005	"+"	"periodic tryptophan protein 2"	1	"Pfam"	"PF00400.24"	"WD40"	"WD domain, G-beta repeat"
"PITG_00052"			2870	468136	471005	"+"	"periodic tryptophan protein 2"	1	"Pfam"	"PF04047.6"	"PWP2"	"Periodic tryptophan protein 2 WD repeat associated presumed domain"
"PITG_00053"			1250	471109	472358	"-"	"WD domain-containing protein"	1				
"PITG_00053"			1250	471109	472358	"-"	"WD domain-containing protein"	1	"Pfam"	"PF00400.24"	"WD40"	"WD domain, G-beta repeat"
"PITG_00054"			911	472489	473399	"+"	"Mitochondrial Protein Translocase (MPT) Family"	1				
"PITG_00054"			911	472489	473399	"+"	"Mitochondrial Protein Translocase (MPT) Family"	1	"Pfam"	"PF00515.20"	"TPR_1"	"Tetratricopeptide repeat"
"PITG_00054"			911	472489	473399	"+"	"Mitochondrial Protein Translocase (MPT) Family"	1	"Pfam"	"PF07719.9"	"TPR_2"	"Tetratricopeptide repeat"
"PITG_00055"			1335	473475	474809	"-"	"conserved hypothetical protein"	1				
"PITG_00055"			1335	473475	474809	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF00612.19"	"IQ"	"IQ calmodulin-binding motif"
"PITG_00056"			1552	475065	476616	"-"	"conserved hypothetical protein"	1				
"PITG_00058"			519	516889	517407	"+"	"protease inhibitor EpiC4"	1				
"PITG_00059"			936	519897	520832	"+"	"conserved hypothetical protein"	1				
"PITG_00060"			647	520949	521595	"-"	"hypothetical protein"	1				
"PITG_00061"			321	522511	522831	"-"	"hypothetical protein"	1				
"PITG_00062"			312	523260	523571	"+"	"Mitochondrial Protein Translocase (MPT) Family"	1				
"PITG_00062"			312	523260	523571	"+"	"Mitochondrial Protein Translocase (MPT) Family"	1	"Pfam"	"PF02953.7"	"zf-Tim10_DDP"	"Tim10/DDP family zinc finger"
"PITG_00063"			1520	523861	525380	"-"	"mitogen activated protein kinase 7"	1				
"PITG_00063"			1520	523861	525380	"-"	"mitogen activated protein kinase 7"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00063"			1520	523861	525380	"-"	"mitogen activated protein kinase 7"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00064"			1572	525672	527243	"+"	"conserved hypothetical protein"	1				
"PITG_00065"			2385	527379	529763	"-"	"conserved hypothetical protein"	1				
"PITG_00066"			3837	530170	534006	"+"	"conserved hypothetical protein"	1				
"PITG_00066"			3837	530170	534006	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00169.21"	"PH"	"PH domain"
"PITG_00066"			3837	530170	534006	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00610.13"	"DEP"	"Domain found in Dishevelled, Egl-10, and Pleckstrin"
"PITG_00066"			3837	530170	534006	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF01363.13"	"FYVE"	"FYVE zinc finger"
"PITG_00066"			3837	530170	534006	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF01590.18"	"GAF"	"GAF domain"
"PITG_00067"			2386	534009	536394	"-"	"conserved hypothetical protein"	1				
"PITG_00067"			2386	534009	536394	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF01363.13"	"FYVE"	"FYVE zinc finger"
"PITG_00067"			2386	534009	536394	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF01590.18"	"GAF"	"GAF domain"
"PITG_00068"			888	537458	538345	"+"	"cleavage induced conserved hypothetical protein"	1				
"PITG_00069"			1759	541810	543568	"-"	"conserved hypothetical protein"	1				
"PITG_00070"			2152	544099	546250	"-"	"conserved hypothetical protein"	1				
"PITG_00071"			1030	546365	547394	"-"	"DNA replication complex GINS protein PSF1"	1				
"PITG_00071"			1030	546365	547394	"-"	"DNA replication complex GINS protein PSF1"	1	"Pfam"	"PF03651.6"	"Psf1"	"Partner of SLD five, PSF1"
"PITG_00072"			5254	547500	552753	"+"	"conserved hypothetical protein"	1				
"PITG_00072"			5254	547500	552753	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00023.22"	"Ank"	"Ankyrin repeat"
"PITG_00072"			5254	547500	552753	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00036.24"	"efhand"	"EF hand"
"PITG_00073"			1539	552812	554350	"-"	"calcium/calmodulin-dependent protein kinase, putative"	1				
"PITG_00073"			1539	552812	554350	"-"	"calcium/calmodulin-dependent protein kinase, putative"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00073"			1539	552812	554350	"-"	"calcium/calmodulin-dependent protein kinase, putative"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00074"			1263	554755	556017	"+"	"conserved hypothetical protein"	1				
"PITG_00074"			1263	554755	556017	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF05405.6"	"Mt_ATP-synt_B"	"Mitochondrial ATP synthase B chain precursor (ATP-synt_B)"
"PITG_00075"			4353	556960	561312	"-"	"conserved hypothetical protein"	1				
"PITG_00076"			680	561562	562241	"-"	"hypothetical protein"	1				
"PITG_00077"			4536	566327	570862	"+"	"ubiquitin-specific protease, putative"	1				
"PITG_00077"			4536	566327	570862	"+"	"ubiquitin-specific protease, putative"	1	"Pfam"	"PF00036.24"	"efhand"	"EF hand"
"PITG_00077"			4536	566327	570862	"+"	"ubiquitin-specific protease, putative"	1	"Pfam"	"PF00443.21"	"UCH"	"Ubiquitin carboxyl-terminal hydrolase"
"PITG_00077"			4536	566327	570862	"+"	"ubiquitin-specific protease, putative"	1	"Pfam"	"PF06337.4"	"DUF1055"	"Domain of Unknown Function (DUF1055)"
"PITG_00078"			2754	571453	574206	"-"	"kinesin-like protein"	1				
"PITG_00078"			2754	571453	574206	"-"	"kinesin-like protein"	1	"Pfam"	"PF00225.15"	"Kinesin"	"Kinesin motor domain"
"PITG_00079"			1155	575621	576775	"+"	"protein kinase"	1				
"PITG_00080"			1285	576866	578150	"+"	"protein kinase"	1				
"PITG_00081"			2507	578573	581079	"+"	"protein kinase, putative"	1				
"PITG_00081"			2507	578573	581079	"+"	"protein kinase, putative"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00081"			2507	578573	581079	"+"	"protein kinase, putative"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00082"			2168	581243	583410	"-"	"monovalent Cation:Proton Antiporter-2 (CPA2) family"	1				
"PITG_00082"			2168	581243	583410	"-"	"monovalent Cation:Proton Antiporter-2 (CPA2) family"	1	"Pfam"	"PF00999.13"	"Na_H_Exchanger"	"Sodium/hydrogen exchanger family"
"PITG_00082"			2168	581243	583410	"-"	"monovalent Cation:Proton Antiporter-2 (CPA2) family"	1	"Pfam"	"TIGR01409"	"TAT_signal_seq"	"Tat (twin-arginine translocation) pathway signal sequence"
"PITG_00083"			957	583814	584770	"+"	"conserved hypothetical protein"	1				
"PITG_00083"			957	583814	584770	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF06966.4"	"DUF1295"	"Protein of unknown function (DUF1295)"
"PITG_00084"			1606	585822	587427	"+"	"hypothetical protein"	1				
"PITG_00088"			1347	643976	645322	"-"	"pre-mRNA-splicing factor cwc2, putative"	1				
"PITG_00088"			1347	643976	645322	"-"	"pre-mRNA-splicing factor cwc2, putative"	1	"Pfam"	"PF00076.14"	"RRM_1"	"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"PITG_00088"			1347	643976	645322	"-"	"pre-mRNA-splicing factor cwc2, putative"	1	"Pfam"	"PF00397.18"	"WW"	"WW domain"
"PITG_00089"			955	646329	647283	"-"	"GTP-binding protein SAR1"	1				
"PITG_00089"			955	646329	647283	"-"	"GTP-binding protein SAR1"	1	"Pfam"	"PF00025.13"	"Arf"	"ADP-ribosylation factor family"
"PITG_00089"			955	646329	647283	"-"	"GTP-binding protein SAR1"	1	"Pfam"	"PF08477.5"	"Miro"	"Miro-like protein"
"PITG_00089"			955	646329	647283	"-"	"GTP-binding protein SAR1"	1	"Pfam"	"TIGR00231"	"small_GTP"	"small GTP-binding protein domain"
"PITG_00090"			980	647500	648479	"+"	"vacuolar sorting protein SNF8"	1				
"PITG_00090"			980	647500	648479	"+"	"vacuolar sorting protein SNF8"	1	"Pfam"	"PF04157.8"	"EAP30"	"EAP30/Vps36 family"
"PITG_00093"			861	670322	671182	"+"	"conserved hypothetical protein"	1				
"PITG_00094"			4402	674948	679349	"-"	"conserved hypothetical protein"	1				
"PITG_00094"			4402	674948	679349	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF00622.20"	"SPRY"	"SPRY domain"
"PITG_00094"			4402	674948	679349	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF00627.23"	"UBA"	"UBA/TS-N domain"
"PITG_00095"			1680	680078	681757	"-"	"Major Facilitator Superfamily (MFS)"	1				
"PITG_00095"			1680	680078	681757	"-"	"Major Facilitator Superfamily (MFS)"	1	"Pfam"	"PF00083.16"	"Sugar_tr"	"Sugar (and other) transporter"
"PITG_00095"			1680	680078	681757	"-"	"Major Facilitator Superfamily (MFS)"	1	"Pfam"	"PF07690.8"	"MFS_1"	"Major Facilitator Superfamily"
"PITG_00095"			1680	680078	681757	"-"	"Major Facilitator Superfamily (MFS)"	1	"Pfam"	"TIGR00879"	"SP"	"MFS transporter, sugar porter (SP) family"
"PITG_00096"			904	686626	687529	"-"	"conserved hypothetical protein"	1				
"PITG_00097"			7960	688194	696153	"+"	"conserved hypothetical protein"	1				
"PITG_00097"			7960	688194	696153	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00415.10"	"RCC1"	"Regulator of chromosome condensation (RCC1)"
"PITG_00098"			3677	697374	701050	"+"	"HECT E3 ubiquitin ligase, putative"	1				
"PITG_00098"			3677	697374	701050	"+"	"HECT E3 ubiquitin ligase, putative"	1	"Pfam"	"PF00622.20"	"SPRY"	"SPRY domain"
"PITG_00098"			3677	697374	701050	"+"	"HECT E3 ubiquitin ligase, putative"	1	"Pfam"	"PF00632.17"	"HECT"	"HECT-domain (ubiquitin-transferase)"
"PITG_00099"			1146	711549	712694	"-"	"conserved hypothetical protein"	1				
"PITG_00100"			861	714513	715373	"+"	"conserved hypothetical protein"	1				
"PITG_00101"			6796	716759	723554	"-"	"HECT E3 ubiquitin ligase, putative"	1				
"PITG_00101"			6796	716759	723554	"-"	"HECT E3 ubiquitin ligase, putative"	1	"Pfam"	"PF00622.20"	"SPRY"	"SPRY domain"
"PITG_00101"			6796	716759	723554	"-"	"HECT E3 ubiquitin ligase, putative"	1	"Pfam"	"PF00627.23"	"UBA"	"UBA/TS-N domain"
"PITG_00101"			6796	716759	723554	"-"	"HECT E3 ubiquitin ligase, putative"	1	"Pfam"	"PF00632.17"	"HECT"	"HECT-domain (ubiquitin-transferase)"
"PITG_00102"			847	730912	731758	"+"	"conserved hypothetical protein"	1				
"PITG_00103"			1548	744028	745575	"+"	"sugar transporter, putative"	1				
"PITG_00103"			1548	744028	745575	"+"	"sugar transporter, putative"	1	"Pfam"	"PF00083.16"	"Sugar_tr"	"Sugar (and other) transporter"
"PITG_00103"			1548	744028	745575	"+"	"sugar transporter, putative"	1	"Pfam"	"PF07690.8"	"MFS_1"	"Major Facilitator Superfamily"
"PITG_00104"			2318	746336	748653	"+"	"conserved hypothetical protein"	1				
"PITG_00106"			1111	769830	770940	"+"	"conserved hypothetical protein"	1				
"PITG_00107"			1243	789089	790331	"+"	"conserved hypothetical protein"	1				
"PITG_00107"			1243	789089	790331	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00614.14"	"PLDc"	"Phospholipase D Active site motif"
"PITG_00108"			1037	799735	800771	"-"	"phospholipase D, putative"	1				
"PITG_00108"			1037	799735	800771	"-"	"phospholipase D, putative"	1	"Pfam"	"PF00614.14"	"PLDc"	"Phospholipase D Active site motif"
"PITG_00109"			1557	825758	827314	"+"	"DEAD/DEAH box RNA helicase, putative"	1				
"PITG_00109"			1557	825758	827314	"+"	"DEAD/DEAH box RNA helicase, putative"	1	"Pfam"	"PF00270.21"	"DEAD"	"DEAD/DEAH box helicase"
"PITG_00109"			1557	825758	827314	"+"	"DEAD/DEAH box RNA helicase, putative"	1	"Pfam"	"PF00271.23"	"Helicase_C"	"Helicase conserved C-terminal domain"
"PITG_00110"			823	827690	828512	"+"	"cytochrome c1 heme lyase, putative"	1				
"PITG_00110"			823	827690	828512	"+"	"cytochrome c1 heme lyase, putative"	1	"Pfam"	"PF01265.9"	"Cyto_heme_lyase"	"Cytochrome c/c1 heme lyase"
"PITG_00111"			2151	828603	830753	"+"	"kinesin-like protein"	1				
"PITG_00111"			2151	828603	830753	"+"	"kinesin-like protein"	1	"Pfam"	"PF00225.15"	"Kinesin"	"Kinesin motor domain"
"PITG_00112"			548	832523	833070	"-"	"conserved hypothetical protein"	1				
"PITG_00113"			782	833335	834116	"+"	"protein kinase"	1				
"PITG_00114"			811	835321	836131	"+"	"conserved hypothetical protein"	1				
"PITG_00114"			811	835321	836131	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00036.24"	"efhand"	"EF hand"
"PITG_00115"			1413	837848	839260	"+"	"protein kinase, putative"	1				
"PITG_00115"			1413	837848	839260	"+"	"protein kinase, putative"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00115"			1413	837848	839260	"+"	"protein kinase, putative"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00116"			2368	839729	842096	"+"	"SUMO ligase, putative"	1				
"PITG_00116"			2368	839729	842096	"+"	"SUMO ligase, putative"	1	"Pfam"	"PF02037.19"	"SAP"	"SAP domain"
"PITG_00116"			2368	839729	842096	"+"	"SUMO ligase, putative"	1	"Pfam"	"PF02891.12"	"zf-MIZ"	"MIZ/SP-RING zinc finger"
"PITG_00117"			1905	842279	844183	"+"	"splicing factor 3A"	1				
"PITG_00118"			624	844534	845157	"+"	"conserved hypothetical protein"	1				
"PITG_00118"			624	844534	845157	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF01965.16"	"DJ-1_PfpI"	"DJ-1/PfpI family"
"PITG_00118"			624	844534	845157	"+"	"conserved hypothetical protein"	1	"Pfam"	"TIGR01383"	"not_thiJ"	"DJ-1 family protein"
"PITG_00119"			1089	845412	846500	"+"	"hypothetical protein"	1				
"PITG_00121"			1146	863713	864858	"-"	"sporangia induced predicted protein"	1				
"PITG_00122"			864	865186	866049	"-"	"conserved hypothetical protein"	1				
"PITG_00123"			453	866165	866617	"-"	"sporangia induced hypothetical protein"	1				
"PITG_00124"			1093	867206	868298	"+"	"ser/thr kinase"	1				
"PITG_00124"			1093	867206	868298	"+"	"ser/thr kinase"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00124"			1093	867206	868298	"+"	"ser/thr kinase"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00125"			1671	868367	870037	"-"	"conserved hypothetical protein"	1				
"PITG_00125"			1671	868367	870037	"-"	"conserved hypothetical protein"	1	"Pfam"	"PF02204.10"	"VPS9"	"Vacuolar sorting protein 9 (VPS9) domain"
"PITG_00126"			237	871021	871257	"+"	"hypothetical protein"	1				
"PITG_00127"			1259	871948	873206	"-"	"estradiol 17-beta-dehydrogenase, putative"	1				
"PITG_00127"			1259	871948	873206	"-"	"estradiol 17-beta-dehydrogenase, putative"	1	"Pfam"	"PF00106.17"	"adh_short"	"short chain dehydrogenase"
"PITG_00128"			675	873391	874065	"+"	"conserved hypothetical protein"	1				
"PITG_00129"			1517	874867	876383	"+"	"copine-like protein, putative"	1				
"PITG_00129"			1517	874867	876383	"+"	"copine-like protein, putative"	1	"Pfam"	"PF07002.8"	"Copine"	"Copine"
"PITG_00130"			987	876682	877668	"-"	"conserved hypothetical protein"	1				
"PITG_00131"			1785	878331	880115	"+"	"hypothetical protein"	1				
"PITG_00132"			1321	880586	881906	"-"	"phosphoglycerate kinase"	1				
"PITG_00132"			1321	880586	881906	"-"	"phosphoglycerate kinase"	1	"Pfam"	"PF00162.11"	"PGK"	"Phosphoglycerate kinase"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1				
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"PF00389.22"	"2-Hacid_dh"	"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"PF01842.17"	"ACT"	"ACT domain"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"PF02826.11"	"2-Hacid_dh_C"	"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"TIGR01327"	"PGDH"	"phosphoglycerate dehydrogenase"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"TIGR01365"	"serC_2"	"phosphoserine aminotransferase"
"PITG_00133"			11706	903117	914822	"+"	"phosphoserine aminotransferase, putative"	1	"Pfam"	"TIGR01366"	"serC_3"	"phosphoserine aminotransferase, putative"
